current_date,amount_in_bank
2023-09-09 00:00:00,1349456.16
2023-09-10 00:00:00,1351935.16
2023-09-11 00:00:00,1353959.16
2023-09-12 00:00:00,1355543.16
2023-09-13 00:00:00,1357892.16
2023-09-14 00:00:00,1360311.16
2023-09-15 00:00:00,1361839.16
2023-09-16 00:00:00,1365000.16
2023-09-17 00:00:00,1368437.16
2023-09-18 00:00:00,1371003.36
2023-09-19 00:00:00,1400947.98
2023-09-20 00:00:00,1404317.98
2023-09-21 00:00:00,1408782.98
2023-09-22 00:00:00,1412904.98
2023-09-23 00:00:00,1416107.98
2023-09-24 00:00:00,1418914.98
2023-09-25 00:00:00,1421485.98
2023-09-26 00:00:00,1423421.98
2023-09-27 00:00:00,1426720.98
2023-09-28 00:00:00,1430206.98
2023-09-29 00:00:00,1432685.98
2023-09-30 00:00:00,1436026.98
2023-10-01 00:00:00,1442509.98
2023-10-02 00:00:00,1445458.98
2023-10-03 00:00:00,1445458.98
2023-10-04 00:00:00,1448992.98
2023-10-05 00:00:00,1449142.98
2023-10-06 00:00:00,1449442.98
2023-10-07 00:00:00,1450432.98
2023-10-08 00:00:00,1462456.98
2023-10-09 00:00:00,1471426.83
2023-10-10 00:00:00,1475229.98
2023-10-11 00:00:00,1485810.78
2023-10-12 00:00:00,1490349.08
2023-10-13 00:00:00,1503097.43
2023-10-14 00:00:00,1517392.73
2023-10-15 00:00:00,1526222.88
2023-10-16 00:00:00,1540702.78
2023-10-17 00:00:00,1552825.68
2023-10-18 00:00:00,1561429.73
2023-10-19 00:00:00,1598532.95
2023-10-20 00:00:00,1634037.35
2023-10-21 00:00:00,1647667.95
2023-10-22 00:00:00,1655020.6
2023-10-23 00:00:00,1658575.6
2023-10-24 00:00:00,1660902.6
2023-10-25 00:00:00,1663937.6
2023-10-26 00:00:00,1665968.6
2023-10-27 00:00:00,1668873.6
2023-10-28 00:00:00,1671902.6
2023-10-29 00:00:00,1675622.6
2023-10-30 00:00:00,1678701.6
2023-10-31 00:00:00,1681418.6
2023-11-01 00:00:00,1681418.6
2023-11-02 00:00:00,1687739.6
2023-11-03 00:00:00,1691438.6
2023-11-04 00:00:00,1692143.6
2023-11-05 00:00:00,1695587.6
2023-11-06 00:00:00,1696082.6
2023-11-07 00:00:00,1696082.6
2023-11-08 00:00:00,1696916.6
2023-11-09 00:00:00,1710497.6
2023-11-10 00:00:00,1713827.6
2023-11-11 00:00:00,1716148.6
2023-11-12 00:00:00,1718627.6
2023-11-13 00:00:00,1720708.6
2023-11-14 00:00:00,1722562.6
2023-11-15 00:00:00,1725061.6
2023-11-16 00:00:00,1727225.6
2023-11-17 00:00:00,1730379.6
2023-11-18 00:00:00,1733106.8
2023-11-19 00:00:00,1763587.42
2023-11-20 00:00:00,1766014.42
2023-11-21 00:00:00,1769011.42
2023-11-22 00:00:00,1772981.42
2023-11-23 00:00:00,1778076.42
2023-11-24 00:00:00,1782516.42
2023-11-25 00:00:00,1784738.42
2023-11-26 00:00:00,1787731.42
2023-11-27 00:00:00,1790362.42
2023-11-28 00:00:00,1792148.42
2023-11-29 00:00:00,1796092.42
2023-11-30 00:00:00,1799968.42
2023-12-01 00:00:00,1805461.42
2023-12-02 00:00:00,1806148.42
2023-12-03 00:00:00,1811959.42
2023-12-04 00:00:00,1815715.42
2023-12-05 00:00:00,1816555.42
2023-12-06 00:00:00,1819729.42
2023-12-07 00:00:00,1819729.42
2023-12-08 00:00:00,1820209.42
2023-12-09 00:00:00,1821061.42
2023-12-10 00:00:00,1833085.42
2023-12-11 00:00:00,1835458.42
2023-12-12 00:00:00,1836549.42
2023-12-13 00:00:00,1839298.42
2023-12-14 00:00:00,1841817.42
2023-12-15 00:00:00,1843641.42
2023-12-16 00:00:00,1846500.42
2023-12-17 00:00:00,1848844.42
2023-12-18 00:00:00,1850421.62
2023-12-19 00:00:00,1880470.24
